Company Name,Industry,Funding Stage,Amount,Location,About Company,Year Funded,Investor
Bombay Play,Gaming,Pre series A,1500000.0,Bangalore,It designs and creates online multiplayer games,2021,"Leo capital, Ramakant Sharma"
Fullife,Healthtech,,6609000.0,Mumbai,It sells sports nutrition supplements through a brand called Fast&Up,2021,Amansa Capital
Oziva,Nutrition,Series A,5000000.0,,Clean Label Active Nutrition Brand,2021,Matrix Partners
Aye Finance,Fintech,Series E,27700000.0,Gurugram,A finance lender to SMEs,2021,"Capital G, Alphabet's Independent growth fund"
Aether Biomedical,Medtech,Seed Investment,,Delhi,"Medical robotics startup, focussed on developing rehabilitation devices",2021,Chiratae Ventures
91springboard,Coworking,,5940000.0,Delhi,It offers collaborative workspace with varied amenities,2021,"Pearl Brook Holdings Ltd, Al Nour International Holdings Co."
Yulu,Micro-mobiity,,3964000.0,,The electric and scooter rental startup,2021,Rocketship
Milkbasket,Logistics,,5500000.0,Gurugram,Hyperlocal delivery service startup,2021,Inflection Point Ventures
MergerDomo,Marketplace,,197000.0,Noida,Global online corporate deal sourcing and consulting marketplace,2021,"Nadir Godrej, Individual Investors"
GoMechanic,Auto-tech,Series B,,Delhi,Find automobile repair and maintenance service providers,2021,Pawan Munjal
Milk Mantra,Food,,10000000.0,Odisha,Produces Dairy Products,2021,US International Development Finance Corporation
Myglamm,Beauty,,4327000.0,Mumbai,On-demand beauty services provider,2021,"Tano India, L’Occitane, Bessemer"
Drishti Technologies,AI,Series B,25000000.0,Bangalore,"AI-based video analytics, data, and insights bring benefits to manufacturers",2021,Sozo Ventures
Instasolv,Edtech,Pre series A,2000000.0,Noida,It is a doubt-solving app for students from Class 6 to 12,2021,Undisclosed
GoldenPi,Fintech,,459000.0,Bangalore,An online aggregator of bonds and debentures available in the secondary market,2021,Rainmatter Capital
Peppermint,Robotics,Seed Round,,,Industrial robotics startup,2021,"Venture Catalysts, Naveen Kshatriya,"
Jai Kisan,Fintech,Pre series A,3937000.0,Mumbai,A platform that caters the need of customers in rural areas,2021,"Arkam Ventures, Nabventures"
LetsTransport,Logitech,,1313500.0,Bangalore,Offers techno logistics solutions,2021,Stride Ventures
Crimson Healthcare,Med Tech,,229800.0,Delhi,It innovates cutting edge solutions for various problems in the healthcare system,2021,Mumbai Angels Network
Biomoneta,Life sciences,Seed Round,,Bangalore,It develops germicidal technologies,2021,"Beyond Next Ventures, ArthaVida Ventures, Dr Aniruddha Malpani"
Edvizo,Edtech,Seed Round,150000.0,Bangalore,"Online marketplace to search, compare and enrol in the best institutes for competitive exam preparation",2021,Inflection Point Ventures
Servify,SaaS,Series C,11370000.0,Mumbai,Operates device management and support platform,2021,"Iron Pillar, Blume Ventures"
Drum Food,Food,,5305000.0,Mumbai,It runs yoghurt brand Epigamia,2021,"Danone Manifesto, Mousse Partners"
Innoviti,SaaS,Series C,,Bangalore,Digital payments solutions company,2021,"Entrepreneurial Development Bank, Bessemer Venture Partners"
Jiffy ai,AI,Series A,18000000.0,,Enterprise automation startup,2021,Nexus Venture Partners
Postman,Tech,Series C,150000000.0,,API development platform startup,2021,Insight Partners
Waycool,Agritech,Series C,5500000.0,Chennai,Food development and distribution services,2021,Induslnd Bank
Ameliorate Biotech,Biotech,Angel Round,264000.0,Bangalore,"Their products address the needs in Early Stage Diagnostics, Bio-Similars and Nutraceuticals.",2021,"PadUp, Villgro USA, Vinners, LetsVenture, SINE IIT Bombay, DERBI"
Hapramp,Blockchain,,1000000.0,Gurugram,Startup working on technologies like blockchain and social media,2021,Anand Mahindra
HealthPlix,Healthtech,Series B,6000000.0,Bangalore,It provides clinical software for doctors,2021,"JSW Ventures, Chiratae Ventures, Kalaari Capital"
YoloBus,Mobility/Transport,Series A,3300000.0,Gurugram,Intercity bus service startup,2021,Nexus Venture Partners
iNurture Education,Edtech,,4000000.0,,"It provides a conducive and healthy teaching, learning environment",2021,Kimera Ltd
Pocket52,Gaming,Series A,1750000.0,Bangalore,An online poker playing platform,2021,Gameskraft
QuaQua,Travel,,1000000.0,Hyderabad,Virtual travel guide platform,2021,Anthill Ventures
Crofarm,Agritech,,1000000.0,Delhi,Supply chain that supports farmers and provides businesses with freshest produce,2021,Smile group
Timios,Foodtech,Pre series A,,Bangalore,Provides healthy snacks for kids,2021,Rangsons Technologies
Wooden Street,Ecommerce,Series A,3000000.0,Jaipur,It enables to order custom furniture online,2021,IAN Fund
BankBazaar,Fintech,Series D1,5967000.0,Chennai,Online marketplace that gives customers instant customised offers on loans and credit cards,2021,WSV Capital
Rentmojo,Rental,,2980000.0,Bangalore,"Rental platform for furniture, appliances & electronics",2021,"Gautam Dalmia, Pratithi Investment Trust, Shri Investment"
Credgencies,AI & Debt,Seed Round,,,Tech-enabled platform for resolution of non-performing assets,2021,Titan Capital
Knorish,SaaS/Edtech,Pre series A,323000.0,Delhi,All-in-one knowledge commerce SaaS platform,2021,100x VC
LetsTransport,Logitech,,1326000.0,Bangalore,Offers techno logistics solutions,2021,Black Soil
Vahak,Transport,Seed Round,,,It enables logistic companies to conncet with transporters,2021,"Leo Capaitals, Amit Gupta, Abhishek Goyal, Ramakant Sharma, Harsh Pokhran"
Nutrova,Nutrition,Pre series A,,Mumbai,"Nutraceutical company developing evidence-based nutrition and nutraceutical products,",2021,DSG Consumer Partners
Cube Wealth,SaaS,Mid series,500000.0,Mumbai,A digital wealth management services,2021,"Beenext, Asuka Holding"
IVF Access,Healthtech,Series A,5000000.0,Bangalore,It provdes IVF treatments,2021,Vertex Ventures SEA & India
Hoi Foods,Foodtech,Pre series A,2000000.0,Delhi,Quality food solution,2021,Crowd Fund
Ola Financial Services,Fintech,Series A,27000000.0,Bangalore,It operates Ola Money,2021,Matrix Partners
Awifs,Co-working,,5200000.0,Delhi,Provides office space solutions,2021,"Bisque Limited, Link Investment Trust."
Dunzo,Logistics,,55000000.0,Bangalore,India-based hyperlocal delivery startup,2021,Undisclosed
Swiflearn,Edtech,Seed Round,,Gurugram,Learning platform for K-10 students looking for personalised learning,2021,"Stellaris Venture Partners, Venture Highway"
Remedo,Healthtech,Pre series A,,Delhi,The platform connects doctors with patients,2021,River Rock Ventures. Inflection Point Ventures
Toch,AI,Pre series A,1000000.0,Mumbai,"Helps online video creators, media companies, advertisers, and OTT platforms optimise their videos",2021,"Chinaccelerator, 9 Unicorns Fund, Inflection Point Ventures"
Gram Cover,Insurtech,Pre series A,,Noida,It provides insurance products in rural areas,2021,"EMVC, Flourish, Omidyar Network India"
Coin DCX,Cryptocurrency,,2500000.0,Mumbai,Hybrid crypto exchange platform,2021,Polychain Capital
Euler Motors,Automotive tech,Series A,2530000.0,Delhi,Startup focusses on electric vehicles,2021,Inventus III India Fund
Riskcovry,Insurtech,Pre series A,,Mumbai,Offers various insurance products,2021,"Bharat Inclusion Seed Fund, Varanium Capital, and Better Capital"
NWNT (No Worry No Tension Healthcare),Healthtech,Pre series A,,Delhi,Mental healthtech startup,2021,Amit Burman
Leap Club,,Pre seed round,340000.0,Gurugram,Community led professional network for women,2021,"Whiteboard Capital, FirstCheque, Artha India Ventures, Sweta Rau, Deepak Abbot, Amrish Rau, Harpreet Singh Grover"
Credit Mantri,Fintech,,792000.0,Chennai,Offers free credit score and a detailed credit analysis report,2021,"IDG Ventures, Elevar Equity, Accion"
Xtracap,Fintech,,1000000.0,Gurugram,"Offers online payment solution,schemes, order management, insurance etc.,",2021,Angel Investors
Khatabook,Fintech,Series B,60000000.0,Bangalore,It helps SMEs to maintain their accounts and ledger online.,2021,B Capital Group
LendingKart,Fintech,Series D,11363000.0,Ahmedabad,Provides working capital loans and business loans to MSMEs,2021,"Fullerton Financial Holdings, Bertelsmann India Investments, Sistema Asia Fund, IndiaQuotient"
Illumnus,Edtech,Seed Round,100000.0,,Offers Collaborative learning management system for educational institutions,2021,Angel investors. HNI
LetsTransport,Logitech,,1715000.0,Bangalore,Offers techno logistics solutions,2021,Innoven Capital
Eggoz,Agritech,Seed Round,329000.0,Bihar,"Provides technology backed, deep integration services to egg farmers",2021,"Tracxn Labs, Angellist, Tri-Deep Capital"
Indian School Finance Company,Fintech,Seed Round,5271000.0,Hyderabad,NBFC that provides funding to education system,2021,Gray Matters Capital
Juicy Chemistry,,Series A,650000.0,,It focuses on organic based skincare products,2021,Akya Ventures
Sindhuja Microcredit,Fintech,,8700000.0,Noida,It provides financial services to self employed women entrepreneurs,2021,Nordic Microfinance Initiative
Rentmojo,Rental,,3226000.0,Bangalore,"Rental platform for furniture, appliances & electronics",2021,"Chiratae Ventures, Accel Partners, BCIP Venture Associates, Bain Capital, Renaud Laplanche"
Intello Labs,"Supply chain, Agritech",Series A,5900000.0,Gurugram,Standardisation and Quality control of fruits & vegetables,2021,Saama Capital
SirionLabs,SaaS,Series C,44000000.0,Gurugram,"Provides procurement, outsourcing services & contract management software",2021,"Tiger Global, Avatar Growth Capital"
Magicpin,,,3879000.0,Gurugram,"It is a local discovery, rewards, and commerce platform",2021,Lightspeed Venture Partners
GroCurv,B2B,Seed Round,,Gurugram,"It offers a wide range of business related services like Branding, marketing, sales etc.,",2021,Unicorn Investments Pte Ltd
Refrens,SaaS,Seed Round,1000000.0,Bangalore,"Offers a free invoicing, payments and expense management system",2021,"Vijay Shekhar Sharma, Anupam Mittal"
Shiprocket,Logitech,Series C,13000000.0,,Tech enabled logistics aggregator,2021,"Tribe Capital, Innoven Capital, BII"
Spyne,AI,Pre series A,,Gurugram,Helps online businesses with visual content,2021,"Angellist, Smile Group, Manish Amin, Anil Goel, Anubhav Sonthalia, Deepak Mittal"
Nykaa,Ecommerce,,8800000.0,Mumbai,Deals in cosmetic and wellness products,2021,Steadview capital
Docsapp,Healthtech,,9500000.0,Bangalore,Online doctor consultation app,2021,"Bessemer Venture Partners India, Fusian Capital, Rebright Partners, Milliways Fund LLC"
Phable,Healthtech,Pre series A,1000000.0,,"It creates an engagement loop between doctors, hospitals, and patients via its app",2021,Inflection Point Ventures
Mintoak,Fintech,Pre series A,2000000.0,Mumbai,Merchant payment solutions startup,2021,Pravega Ventures
VestSpace,Spacetech,,10000000.0,Pune,It builds small satellite paltforms,2021,Next Capital
Vernacular ai,AI,Series A,5100000.0,Bangalore,It offers Multiligual AI platform,2021,"Exfinity Ventures, IAN Fund"
Clover,Agritech,,920000.0,Bangalore,Provides agricultural solution to farmers working in the greenhouse production of vegetables and fruits,2021,Alteria Capital
Varthana,Fintech,Series D,15000000.0,Bangalore,Offers secured and unsecured loans,2021,ChrysCapital
Codeninja,SaaS,Seed Round,,Bangalore,AI-powered 'no-code' platform which can generate application development code,2021,"Hari Balasubramanian, EaSyndicate"
MetaMerphoSys,Insurance technology,Pre series A,,Pune,Digital insurance platform for businesses,2021,Good Capital
Rooter,Gaming,Pre series A,1700000.0,Delhi,Live sports engagement platform,2021,"Paytm, leAD Sports, Rockstud Capital, Founder Bank Capital"
DailyHunt,Media,,35600000.0,,News aggregator,2021,Lupa India
Pratilipi,Media,Series C,9400000.0,Bangalore,A digital platform that connects readers and writers in various languages,2021,Tencent
Biryani By Kilo,Food,Series B,790000.0,Delhi,Online paltform to order biryani,2021,"Devanshu Dolat Desai, Anand M Khatau, Debasish Priyadarshi Purohit, Kaushik Shanghvi"
Consure Medical,Healthtech,,480000.0,Delhi,"Novel platform technologies to manage, diagnose, and treat various GI disorders",2021,"Accel Partners, Jungle Ventures"
Servify,,,250000.0,Mumbai,It is a technology company which serves as a platform for brands to offer end-to-end solutions to their users,2021,Barkawi
Tessol,Logistics,Series A,160000.0,Mumbai,It provides end to end cold chain logistics solutions,2021,1Funds Domestic Scheme
Remedo,Healthtech,Pre series A,,Noida,"It helps doctors engage with patients, improve patient experience",2021,RiverRock Ventures
Pedagogy,Edtech,,400000.0,,It has a single subscription model that allows users to access books and digital courses.,2021,Inflection Point Ventures
Classplus,Edtech,Series B,8200000.0,Delhi,"It provides mobile-first software for coaching institutes, tuition centres and private tutors",2021,RTP Global
Medlife,Pharmaceutical,,15500000.0,Bangalore,It solves inadequacies in the healthcare delivery system through technology,2021,Hero Fincorp
MYSUN,Tech,Pre series A,4257000.0,Delhi,Platform for rooftop solar energy solutions,2021,Undisclosed
ShopX,Ecommerce,,1410000.0,Bangalore,B2B retail operating system,2021,Li and Fung
Expertrons,AI,Seed Round,,Mumbai,AI video bot platform for career hacks,2021,"Nikhil Vora, Iceland Venture Studio, LetsVenture, Samyakth Capital"
NewsBytes,Digital Media,Series A,1500000.0,Gurugram,News portal,2021,North Base Media
Wagonfly,,,500000.0,Bangalore,Contactless shopping and delivery experience by using radio frequency to tag retail items,2021,Investment Trust of India
NIRA,Fintech,Pre series A,2100000.0,,It offers access and credit to working Indians,2021,Angel investors
Convosight,Data Analytics,Pre series A,4000000.0,Hyderabad,It helps business gain insights from its community on Facebook groups,2021,"IvyCap Ventures, Sequoia Capital"
Fittr,Fitness,,2000000.0,Pune,Fitness Social Network & Consultation Platform,2021,"Sequoia Capital Surge, Better Capital"
Bira91,Beverage,Series C,20000000.0,Bangalore,Craft beer maker,2021,"Sequoia Capital, Sofina"
Finaureus Technologies,Fintech,Pre series A,,Pune,Provides investment management solutions,2021,Pinetree Capital
Daily Ninja,Ecommerce,,349800.0,Haryana,Online Milk Delivery startup,2021,Big Basket
Guvi Geek Network Pvt Ltd,Edtech,Pre series A,786000.0,Chennai,Operates vernacular-language based education,2021,Education Catalyst Fund
LoadShare,Logistics,Series B,2004000.0,Bangalore,Provides technology based solutions to SMEs in logistics,2021,CDC Group
Vedantu,Edtech,Series C,6800000.0,Bangalore,Onine learning platform,2021,KB Global Platform Firm
Indusface,IT,,5000000.0,,It provides IT security solutions,2021,Tata Capital Growth Fund II
DMI Group,Financial Services,,123000000.0,Delhi,Pan-India Credit providing platform,2021,NXC Corporation
Spintly,IoT,Pre series A,248000.0,Goa,It is a wireless cloud-based access control system,2021,Saltwater Venture Sparks
Bijak,Agritech,Series A,12000000.0,Gurugram,"It is a platform that gives agricultural commodity at better prices, increased working capital, and optimised logistics",2021,RTP Global
Bugworks,Biopharma,,7500000.0,Bangalore,A drug discovery company that aims to discover novel treatment options for resistant bacterial infections,2021,"University of Tokyo Edge Capital, Global Brain Corporation"
DrinkPrime,,Seed Round,,Bangalore,Water purifier subscription service,2021,"Abhishek Goyal, Bharat Jaisinghani, FirstCheque"
Yap,Fintech,Series A,4500000.0,Chennai,Banking and payment products-focused API platform,2021,BeeNext
Tattva,Beauty & wellness,,150000.0,Delhi,Sells its organic and beauty products via marketplace,2021,"Sukhbir Singh, Rakhee Singal"
Pariksha,Edtech,Pre series A,,Pune,Platform for vernacular test-preparation,2021,"INSEAD Angels, IIT Kanpur Angels, Sixth Sense Ventures, Saahil Bhatia"
DailyHunt,Media,,24000000.0,,News aggregator,2021,"Bytedance, Falcon Edge, Goldman Sachs, Advent Management"
NoBroker,Real Estate,,30000000.0,Bangalore,Online real estate rental startup,2021,General Atlantic
Box8,Foodtech,,4000000.0,Mumbai,Enables to order food online,2021,"IIFL Seed Ventures Fund, Menlo park"
Capital Float,Fintech,,15000000.0,Bangalore,Online platform that provides working capital finance to SMEs,2021,"Ribbit Capital, SAIF Partners, Sequoia Capital India, Amazon"
ITILITE,Travel & SaaS,Series B,13000000.0,Bangalore,Platform for business travel,2021,"Greenoaks Capital, Vy Capital. Matrix Partners India"
Morning Context,Digital Media,Seed Round,,,A subscription-only digital media publisher,2021,Angel investors
Aavenir,SaaS,Seed Round,2000000.0,Ahmedabad,Source-to-Pay Software,2021,Accel
BLive,Tourism & EV,Pre series A,,,"It offers experiential, guided tours on smart electric bikes",2021,Mumbai Angels Network
Yellow Messenger,AI,Series B,20000000.0,Bangalore,It offers conversational chatbots,2021,"Lightspeed Venture Partners, Lightspeed India Partners."
Toch,Media Tech,,400000.0,,AI based Video object detection and Tagging platform,2021,Inflection Point Ventures
Ewar,Gaming,,200000.0,Bangalore,E-sports and real-time gaming startup,2021,"Jindal Steels, Jeet Banerjee"
Setu,Fintech,Series A,14259000.0,,"Offers open APIs across four categories: bills, savings, credit, and payments.",2021,"Lightspeed Venture, Falcon Edge, Bharat Inclusive Technologies Seed Fund."
Wellthy Therapeutics,Healthtech,Pre series A,4000000.0,Bangalore,It offers a digital therapeutics service,2021,Saama Capital
FarEye,Logistics,Series D,24500000.0,Delhi,"It enables businesses to execute, track, predict and oprimize the movements of goods",2021,"M12, Honeywell venture capital, Eight Roads Venture"
Rebel Foods,Food tech,,50000000.0,,It runs internet kitchen,2021,Coatue Management
BankBazaar,Fintech,Series D,3800000.0,Chennai,Online marketplace that gives customers instant customised offers on loans and credit cards,2021,"Amazon, Sequoia, Walden SKT Venture Fund"
Porter,Logistics,Series D,18370000.0,Mumbai,Logistics and fleet management,2021,Lightstone Global Funds
SugarBox,Tech,,68525000.0,Mumbai,Hyperlocal data distribution platform,2021,Zee Entertainment Enterprises Limited
Capital Float,Fintech,Series F,4800000.0,Bangalore,Online platform that provides working capital finance to SMEs,2021,"Amazon Inc`, Dinesh J Hinduja"
Big Basket,E store,,60000000.0,Bangalore,Online grocery store,2021,Alibaba Holdings
Amica,Fintech,,2000000.0,,Neobanking startup,2021,"Hummingbird Ventures, Bedrock Capital"
Vedantu,Edtech,Series C,12500000.0,Bangalore,Onine learning platform,2021,Legend Capital
Fingerlix,Food,,1834000.0,,"It provides ready-to-cook products such as batters, mixes, curries, dals, parathas etc.,",2021,"Accel, Zephyr Peacock, Swiggy, RB Investments."
Plop,Tech,Angel Round,,Mumbai,It Provides an interactive fiction entertainment platform to entertain & educate Gen Z & Millennials in a language they understand,2021,"Better Capital, LetsVenture, Rohit Chanana, Jayant Kadambi, Sunil Kumar Singhvi"
Zupee,Gaming,Series A,8000000.0,,It runs live quiz tournaments on its app.,2021,Matrix Partners
DeHaat,Agritech,Series A,12000000.0,,Online marketplace for farming services and products,2021,Sequoia Capital India
Lido Learning,Edtech,Series B,7500000.0,Mumbai,Online teaching service,2021,Bace Capital
Aye Finance,Fintech,,23850000.0,Gurugram,A finance lender to SMEs,2021,Undisclosed
Swiggy,Foodtech,Series A,43000000.0,Bangalore,Platform to order food online from restaurants and getting it delievered,2021,"Tencent, Ark Impact, Korea Investment Partners, Samsung Ventures, Mirae Asset Capital Markets"
Akna Medical,Healthtech,,7000000.0,,Provides supply solutions for surgical and pharmaceutical products.,2021,LGT Lightstone Aspada
Zomato,Foodtech,,5000000.0,Gurugram,Online food delivery and restaurant discovery platform,2021,Pacific Horizon
RaRa Delivery,Logistics,Seed Round,800000.0,,Provides same day delivery service for ecommerce businesses,2021,"Der Shing Lim, 500 startups"
JusPay,Fintech,Series B,21600000.0,Bangalore,Online payment solutions,2021,Vostok Emerging Finance
Fingpay,Fintech,Series A,3500000.0,Mumbai,Provides payment solutions,2021,IvyCap Ventures
Recko,SaaS,Series A,6000000.0,Bangalore,The platform enables AI-powered reconciliation of digital transactions,2021,Vertex Ventures
Furlenco,Ecommerce,,10000000.0,Bangalore,Furniture rental startup,2021,"Chowdry Associates, Lightbox"
Mera Cashier,Fintech,,150000.0,Noida,App meant for small and micro businessmen to manage their transactions digitally,2021,"Sukhbir Singh, India Accelerator, Boudhik Ventures, Shankar Nath, Shaurya Garg"
Kitchens Centre,,Seed Round,500000.0,Delhi,Offers solutions to cloud kitchens by providing commercial space and kitchen infrastructure to assisting with branding and other services,2021,AngelList India
Camp K12,Edtech,Seed Round,4000000.0,Gurugram,It connects students with tutors online,2021,"Matrix Partners, SAIF Partners"
MedGenome,Healthtech,Series D,55000000.0,Bangalore,Genetic diagnostic testing company,2021,LeapFrog Investments
Ergos,Agritech,,4598000.0,Bangalore,It enables farmers to digitise their foodgrain and also provide access to supply chain solutions,2021,Aavishkar Capital
Nykaa,Ecommerce,,13137000.0,Mumbai,Deals in cosmetic and wellness products,2021,Steadview capital
Samadhan,Insurance,Seed Round,,Delhi,They help find solutions to insurance related issues,2021,Venture Catalysts
Lido Learning,Edtech,,3000000.0,Mumbai,Online teaching service,2021,"Pecus Capital, Madhur Deora"
CureFit,Health and Fitness,Series D,115000000.0,Bangalore,"Integrated platform for food, fitness and meditation.",2021,Temasek
Design X,IoT,Seed Round,200000.0,Noida,Builds IoT based products,2021,ThinkNext LLC
Imstrong,Fitness,Seed Round,400000.0,Bangalore,It is an online and live video-streaming platform that allows trainers and fitness enthusiasts to connect and engage in interactive online classes.,2021,Rainmatter
Craftsvilla,Marketplace,,3900000.0,Mumbai,Online marketplace for ethnic wear,2021,Supera Investments
Rupifi,Fintech,Pre seed round,,Bangalore,Offers financial products for SMEs,2021,"Ashneer Grover, Kunal Shah, Ramakant Sharma"
SnackAmor,Food,Seed Round,,Mumbai,It offers various healthy snacks,2021,Undisclosed
Zealthy,Healthtech,Seed Round,,Bangalore,"It connects women to healthproviders for specialities like infertility, maternity etc.,",2021,"KYT Ventures, First Cheque, AngelList"
CoinDCX,Fintech,Series A,3000000.0,,A cryptocurrency trading platform,2021,"Polychain Capital, Bain Capital Ventures, HDR Group"
NuNu TV,Media,,670000.0,,Kids-focussed Youtube channel,2021,Risers Accelerators
QTalk,Technology,Seed Round,1600000.0,Bangalore,Smart Phone Dialer,2021,"Accel India, Lightspeed Venture Partners"
Shadez,Interior & decor,Seed Round,100000.0,Mumbai,Paint Company,2021,Inflection Point Ventures
Excess2Sell,Ecommerce,,1000000.0,Mumbai,B2B Marketplace for Overstock & Surplus Inventory,2021,Gautham Madhavan
Stanplus,Healthtech,Pre series A,1500000.0,Hyderabad,Ambulance service,2021,Pegasus FinInvest
Pitstop,Automobile,Series A,2500000.0,Bangalore,Doorstep car service,2021,TPG-backed Group Landmark
Univariety,Edtech,,1100000.0,Hyderabad,Online marketplace that provides career counselling and college guidance,2021,Info Edge
Peel Works,SaaS,"Series C, D",,Mumbai,E-commerce for corner/retail stores.,2021,CESC Ventures
CoreStack,Technology,Series A,8500000.0,Chennai,Enterprise cloud governance technology startup,2021,Naya Ventures
Vivriti Capital,Fintech,Series B,50000000.0,Chennai,Digital lending startup,2021,LGT Lightstone Aspada
Agnikul,Spacetech,Pre series A,3148000.0,Chennai,"It designs, fabricates, tests and launch orbital class launch vehicles",2021,pi Ventures
Fintso,Fintech,,2600000.0,,Wealth management platform,2021,"Rajeev Juneja, Pratul Shroff, Dilip Khandelwal, Piyush Gupta"
Smart Coin,Fintech,Series A,7000000.0,,Consumer lending startup,2021,LGT LightstoneAspada
ZunRoof,Cleantech,Series A,3000000.0,Gurugram,"It specialises in solar rooftop design, installation, and management using technology",2021,Godrej Investments
Shop101,Social e-commerce,Series C,3900000.0,,Enables entrepreneurs to sell online,2021,"Stellaris Venture Partners, Unilever Ventures, Kalaari Capital, Vy Capital"
OM Bhakti,FMCG,Seed Round,,Bangalore,A puja cotton-wicks manufacturing startup,2021,Venture Catalysts
Lal10,B2B,,1100000.0,Uttar Pradesh,It helps Indian artisans and SMEs reach out to global retailers,2021,Sorenson Impact
Ola Electric,eMobility,,1000000.0,Bangalore,Electric vehicle,2021,Pawan Munjal Family Trust Fund
Multi Living,Real Estate,,6000000.0,Mumbai,"It curates apartments from the homeowners, performs the quality check and offers the homes with built-in services to the potential tenants",2021,Lodha Ventures
FamPay,Fintech,Seed Round,4700000.0,Bangalore,"It allows parents to send money to their kids below the age of 18, which they can spend securely under parent supervision.",2021,"Y Combinator, Venture Highway, Sequoia India, Global Founders Capital"
UnboxRobotics Labs,Automation tech,Seed Round,500000.0,Bangalore,Automated flexible parcel sorting solutions for logistics providers,2021,"Arali Ventures, CIIE.CO"
Karbon Card,Fintech,Seed Round,2000000.0,Bangalore,Specialisde corporate cards for startups,2021,"Kunal Shah, Amrish Rau, Jitendra Gupta"
Airmeet,Media & Networking,,3000000.0,Bangalore,"A platform to host, discover, and attend fully remote events like conferences and professional meet-ups",2021,Accel India
Innerchef,Foodtech,,1000000.0,Gurgaon,Cloud kitchen platform,2021,Mistletoe
Epigamia,FMCG,Series C,,Mumbai,Flavoured and greek yoghurt brand,2021,KA Enterprise
F5,E-market,Seed Round,,Delhi,Retail Aggregator,2021,LetsVenture investors
Paper Boat,Food & Beverages,,4049500.0,Bangalore,Ecommerce platform for beverages and snacks,2021,"Advent Management, A91 Emerging Fund, Trifecta Venture"
Strata,Proptech,Seed Round,1500000.0,Bangalore,Real estate investment platform,2021,"SAIF Partners, Mayfield India"
Salesken,AI & Data science,Series A,8000000.0,Bangalore,Provides sales professionals with intelligence on various aspects of the sales pitch,2021,Sequoia India
Arya,Agritech,Series B,6000000.0,Noida,Provides post-harvest services across the agricultural value chain,2021,LGT Lightstone Aspada
Leap Finance,Fintech,,5500000.0,Bangalore,Provides education loans to students based on the student’s future income,2021,Sequoia India
Tricog,Healthtech,Series B,10500000.0,Bangalore,Provides virtual cardiology services through its AI-powered healthcare platforms,2021,"UTEC-The University of Tokyo Edge Capital, Aflac Ventures, LLC, Dream Incubator, TeamFund"
Trell,Social e-commerce,Pre series A,4000000.0,Bangalore,Allows users to share their travel experiences,2021,"Sequoia’s Surge, Fosun RZ"
Spaciya Consultants,Real Estate,Pre series A,500000.0,Noida,Real estate consultancy firms,2021,Alok Garg
Bounce,Automotive and Rentals,,6500000.0,Bangalore,Offers a variety of bikes and scooters that can be rented on a subscription basis,2021,InnoVen Capital
Neeman,Ecommerce,Pre series A,1000000.0,,An eco-conscious footwear brand making comfortable shoes using Merino Wool,2021,Anicut Angel Fund
Chqbook,Fintech,Series A,5000000.0,Gurugram,"Marketplace for small business owners, offering them products around lending, credit cards etc",2021,Aavishkaar Capital
SMEcorner,Fintech,Series B,30000000.0,Mumbai,Financial lending firm to SMEs,2021,Paragon Partners
Oda Class,Edtech,Pre series A,,Bangalore,"It offers content and material via video, adopting a dual-teacher model with IIT and NIT alumni",2021,Yuanfudao
Spinny,E-tail,Series B,43700000.0,Haryana,Used car retailing platform,2021,"Nandan Nilekani, Sanjeev Aggarwal"
Umeed Housing,Fintech,Series D,23000000.0,Haryana,Housing finance company,2021,Morgan Stanley Private Equity Asia
Vogo,Automotive,Series C,20000000.0,Bangalore,A scooter-sharing platform allowing users to rent a two-wheeler from specific designated pick up points,2021,Lightstone Aspada
Flick Stree,AI & Media,Series A,3000000.0,Mumbai,Artificial intelligence-based video publishing network,2021,Samsung Venture Investment
Qure ai,Healthtech,,16000000.0,Mumbai,Provides interpretations of radiology scans,2021,Sequoia India
Josh Talks,Media,Pre series A,1500000.0,Haryana,Community of young individuals providing a platform to showcase their stories,2021,Media Development Investment Fund
RailYatri,Travel,,13800000.0,Noida,A complete Indian railways app,2021,"Nandan Nilekani, Samsung Venture Investment Corporation"
AjnaLens,Deeptech,Pre series A,1500000.0,Thane,"It leverages technologies such as AR, VR & AI to offer hardware in areas such as education and defence",2021,"Maharashtra Defence, Aerospace Venture Fund (MDAVF)"
Pepper,Content Marktplace,Seed funding,306900.0,Mumbai,End to end content creation platform,2021,"Kunal Bahl, Rohit Bansal"
Rupeek,Fintech,,30000000.0,Bangalore,An asset backed online lending platform,2021,"GGV Capital, Bertelsmann India Investments, Binny Bansal, Sequoia India, Accel Partners"
iMerit,IT,Series B,20000000.0,Kolkata,Turns information into data that is usable for machine learning processes,2021,CDC Group Plc
BharatPe,Fintech,Series C,75000000.0,Delhi,Digital payments platform,2021,Ribbit Capital
Invideo,Visual Media,,2500000.0,,Video production and editing platform,2021,Sequoia Capital’s Surge
AvalonMeta,Edtech,,420000.0,,It combines higher education and competitive gaming,2021,Peerplays
Near Store,Ecommerce,Seed Round,300000.0,Mumbai,Enables a shop to create an online presence,2021,Sauce.vc
Prayaan Capital,Fintech,Seed Round,1200000.0,Chennai,"NBFC that lends to micro, small, and medium-sized enterprises (MSMEs)",2021,Accion Venture Lab
